price,title,location,bhk,bathroom,area
9500,2 room set semi furnished,"Jhungian, Mohali",2,1,1200
30000,3bhk fully furnished near omega city in palm meadows NH,"Kharar, Punjab",3,3,1600
17000,Full furnished,"Kharar, Punjab",1,1,750
26500,Full kothi for rent,"Kharar, Punjab",3,3,900
13000,One bhk fully furnished independent 2nd floor in City heart Kharar,"Janta Nagar, Kharar",1,1,600
8999,1 KITCHEN/ GEEZER /WASHROOM /1FAN/ 1BED SET/2 BIKE PARKING/ 1 CAR,"Thatheryan Mohalla, Kharar",3,1,300
35000,3bhk fully furnished flat owner free,"Kharar, Punjab",3,3,2000
17000,Owner free,"Kharar, Punjab",2,2,1025
15000,2 BHK INDEPENDENT FLOOR,"Sunny Enclave, Kharar",2,2,1350
8500,"Room for boys,girls and couples near Chandigarh university","Khanpur, Kharar",1,1,1500
19000,Fully Furnished 2BHK Independent Flat/Floor in Sunny Enclave,"Sector 125, Mohali",2,2,900
17000,1bhk sbp north valley,"Sante Majra, Kharar",1,1,900
12000,1bhk furnished rent 12k married couple preferRent 12k smart homes sec,"Sector 115, Mohali",1,1,1050
28000,Fully furnished flat 3bhk,"JTPL Township, Kharar",3,2,1000
16000,2bhk semi furnished rent 16k ground floor commercial proptey 1st floor,"Sector 125, Mohali",2,2,1050
24000,2 bhk furnished sec 117 Govind enclave for everyoneRoyal property,"Sector 117, Mohali",2,2,1050
3800,Need a girl roommate 2 for girl's flat,"Main Bazar, Kharar",2,2,400
5000,Female tenant for a 3BHK flat,"Sector 115, Mohali",3,3,1600
16000,2 bhk for rent only girls/married couples,"Sector 92, Mohali",2,2,891
23000,Fully furnished flat is available for rent in Amayra,"Khanpur, Kharar",2,2,1300
13000,One room with kitchen,"Sunny Enclave, Kharar",1,1,1100
7000,AC room in 2bhk,"Sunny Enclave, Kharar",1,1,650
30000,3bhk Fully Furnished everything in flat,"Sector 117, Mohali",3,3,1900
7500,ONE ROOM STUDIO APARTMENT AVAILABLE FOR RENT MUNDI KHARAR,"Mundi Kharar Ward No 3, Kharar",1,1,450
15000,2bhk flat floor indepndt owner free nav floor jhugia road mundi kharar,"Sunny Enclave, Kharar",2,2,1
13000,Sec 125 desu majra,"Sector 125, Mohali",2,2,1150
14000,2BHK POCKET FRIENDLY NEAR UIC-Chandigarh University,"Khanpur, Kharar",2,2,975
80000,3+1 semi furnished in Marbela Grand,"Airport Road, Mohali",4,4,2600
6000,PG for Girls and Boys,"Guru Teg Bahadur Nagar, Kharar",1,1,190
7500,1rk rooms Ac 9000 non Ac 7500 indepndt Mundi kharar near highway markt,"Sunny Enclave, Kharar",1,1,1
6000,1rk rooms indepndt Mundi khrar near sunny enclave near highway,"Sunny Enclave, Kharar",1,1,1
14500,"2bhk, 3bhk furnishd, unfurnishd indepndt near sunny enclave owner free","Sunny Enclave, Kharar",2,2,1
12000,"1bhk,2bhk furnishd indepndt near sunny enclve mata guzri enclve swaraj","Sunny Enclave, Kharar",2,2,1
15000,3bhk full duplex kothi unfurnishd indepndt mata gujri enclve sunny enc,"Sunny Enclave, Kharar",3,2,1
14000,2bhk house unfurnishd first and 2nd floor new mata gujri enclve 125 ok,"Sunny Enclave, Kharar",2,2,1
14500,3bhk kothi indepndt mata gujri enclve near sunny enclve 125 owner free,"Sunny Enclave, Kharar",3,2,1
19999,2 bhk flat for rent,"Garden Colony, Kharar",2,2,1000
6000,1rk rooms indepndt mundi kharar near sunny enclve nijjer highway,"Sunny Enclave, Kharar",1,1,1
6500,1rk rooms indepndt mundi kharar sunny enclve owner free,"Sunny Enclave, Kharar",1,1,1
17500,2bhk Ac full furnishd flat kharar city heart saachi home near highway,"Sunny Enclave, Kharar",2,2,1
7500,1rk rooms 118 sector airport road vr mall back side indepndt owner fre,"Sector 118, Mohali",1,1,1
7500,1rk indepndt new rooms mundi kharar sunny enclve near highway markit,"Sunny Enclave, Kharar",1,1,1
20000,2bhk ( owner free ) fully furnished new untouched property,"Sector 114, Mohali",2,2,900
18000,3bhk ( owner free ) for family,"Sector 114, Mohali",3,3,1500
28000,3 bhk ( owner free ) apartment,"Sector 123, Mohali",3,2,1500
16000,2 bhk for all,"Sector 114, Mohali",2,2,900
15500,One 2 BHK ful furnished set and one studio room full furnished,"Guru Teg Bahadur Nagar, Kharar",2,2,1000
15000,Fully furnished 2 bhk,"Sector 116, Mohali",2,2,1300
23000,Flat at gbp camellia near RBU,"Khanpur, Kharar",2,2,1099
26000,3bhk ( owner free ),"Sector 127, Mohali",3,3,1500
13000,FLAT FOR RENT FULL FURNISHED BACHELOR/WORKING COUPLE,"Sector 124, Mohali",1,1,680
18000,2bhk ( owner free ) apartment,"Sector 114, Mohali",2,1,900
9000,1 BHK ( owner free ) for all,"Sector 114, Mohali",1,1,500
21500,2bhk flat in Gilco valley Sector 127,"Sunny Enclave, Kharar",2,2,1200
13000,3BHK FLAT 2ROOM FREE FOR FLATMATES LOOKING FOR A COUPLE,"Gillco Valley, Kharar",2,1,150
30000,Newly built fully furnished flat sbp shivalik city kharrar mohali,"Shivalik City, Kharar",3,2,1100
23000,2bhk fully furnished,"Sector 117, Mohali",2,2,1500
18500,2bhk fully furnished khera enlave,"Sector 117, Mohali",2,2,1100
25000,Luxury 2 Bhk Full Furnished Flat For Rent In kharar 600 elc.Unit Free,"Khanpur, Kharar",2,2,1050
9500,1BHK FULL FURNISHED,"Dashmesh Nagar, Kharar",1,1,1575
3000,Boys sharing room,"Garden Colony, Kharar",1,1,99
6000,1 Room Available in 2BHK Flat for Male Flatmate  Fully Furnished,"Guru Teg Bahadur Nagar, Kharar",2,2,140
18000,1 AC+Refrigerator+RO+ 2 Double bed+Gyster+Fan,"Sector 126, Mohali",2,2,1200
13000,"1BHK, 2BHK, 3BHK flats available for rent","Sector 126, Kharar",1,1,100
17000,House for tolet,"Sunny Enclave, Kharar",2,2,1400
25000,3BHK FULLY FURNISHED FLAT NEAR CU,"Khanpur, Kharar",3,2,883
20000,Fully Furnished 3BHK Flat for rent in very good condition.,"Khanpur, Kharar",3,2,1400
20500,"2BHK, NEAR CHANDIGARH UNIVERSITY, DIRECT OWNER","Khanpur, Kharar",2,2,720
15000,1BHK (OWNER FREE) FULLY FURNISHED SECTOR 123 NEW SUNNY ENCLAVE,"Sector 123, Mohali",1,1,1000
19500,2bhk fully furnished,"Sector 115, Mohali",2,2,1573
18500,2bhk furnishesd,"Airport Road, Mohali",2,2,1000
25500,3bhk filly furnished brand new flat,"Sector 117, Mohali",3,3,1785
23000,2BHK SEMI FURNISHED INDEPENDENT KOTHI FLOOR  AIRPORT ROAD,"Airport Road, Mohali",2,2,1150
22000,2bhk furnished with 2Ac Family working Shimla Appartment sec 126 Kha,"Sector 126, Kharar",2,2,1050
18000,2Bhk independent rooms,"Garden Colony, Kharar",2,2,1700
12000,2bhk Ground floor Avlb rent 12kDara green scty sec 115 Mohali,"Sector 115, Mohali",2,1,1050
15000,1bhk furnished ind floor rent 15kFamily prefer sunny Enclave sec 125,"Sector 125, Mohali",1,1,1050
16000,1 BHK fully furnished in Gated Society,"Sector 126, Mohali",1,1,850
30000,"Shiwalik Palm City, Sector 127, Kharar
Gated Society 
2nd Floor","Sector 127, Kharar",3,3,1050
24000,2 BHK FLAT FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",2,2,1800
40000,3 BHK FLAT FOR RENT TDI 117 PRESTIGE TOWER,"Sector 117, Mohali",3,3,1600
25000,3 BHK KOTHI FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",3,3,950
17000,2 BHK HOUSE FOR RENT SUNNY ENCLAVE 125,"Sunny Enclave, Kharar",2,2,1400
32000,Flat in amayra city for families,"Khanpur, Kharar",3,3,1400
36000,Independent Fully Furnished Floor in Aerocity,"Airport Road, Mohali",2,2,2700
18000,1bhk owner free flat available,"Guru Teg Bahadur Nagar, Kharar",2,2,995
18000,3 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",3,3,1480
36000,3 BHK FLAT FOR RENT TDI 117 DREAM IKON,"Sector 117, Mohali",3,3,1400
15000,1 RK FLAT FOR RENT SBP GARDANIA,"Sector 117, Mohali",1,1,1400
25500,3 BHK FLAT FOR RENT,"Sector 126, Kharar",3,3,1700
15500,1 BHK FLAT FOR RENT 123,"Sunny Enclave, Kharar",1,1,750
22000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 125,"Sunny Enclave, Kharar",2,2,2100
24000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,900
25000,2 BHK FLAT FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",2,2,1400
26000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,1400
21000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",2,2,1800
22000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",2,2,1400
12000,House for rent,"Guru Teg Bahadur Nagar, Kharar",1,1,500
18000,Rental accommodation,"New Hari Enclave, Kharar",2,2,1500
12000,2 bhk for small faimily including water bill and bed mattress,"Jandpur, Mohali",2,2,900
