price,title,location,bhk,bathroom,area
23000,2bhk phase 2 phase 7,"Mohali, Punjab",2,2,200
11000,Single room available for sharing with all amenities,"Mohali, Punjab",1,1,3000
9000,1 room in 3bhk,"Mohali, Punjab",1,1,1100
19000,Furnished 1 bhk set for working girls facing park near Chd market,"Mohali, Punjab",1,1,200
22000,Beautiful peaceful place to Live,"Mohali, Punjab",2,2,2000
35000,3bhk semi ( 69 sector mohali),"Sector 69, Mohali",3,3,3000
25500,68 sector mohali (for famly) only,"Sector 68, Mohali",3,2,1600
30000,Well furnished spacious near all amneties park facing clean spacious,"Sector 69, Mohali",2,2,550
11000,One single room in sharing available in 2bhk,"Airport Road, Mohali",1,1,3000
20000,"*Available For Rent*
2bhk flat
Furnished 
Rent 20k 
Royal Property","Industrial Area Phase 7, Mohali",2,1,1050
54500,"PREMIUM 3+1 BHK LUXURY APARTMENT FOR RENT – GREEN LOTUS UTSAV, PR7","Airport Road, Mohali",3,4,2525
16000,1 BHK FULLY FURNISHED / 300 UNITS FREE,"Sector 126, Kharar",1,1,700
26000,3bhk 3washroom kitchen hall onlyAny party 6th floor sbp Homes sec 126,"Sector 126, Kharar",3,3,1050
60000,3+1 Bhk Luxury flat for rent in  JLPL Falcon view,"Airport Road, Mohali",4,4,2480
17500,165 gaj kothi,"Daun, Mohali",2,2,1500
16000,Available 1 bhk / 2bhk 3bhk,"Sector 63, Mohali",1,2,660
4500,Room Partner Required  ₹4500/Month  2BHK Furnished Flat,"Landran, Mohali",2,2,1000
45000,Fully furnished independent 3 bhk with attached independent washroom t,"Sector 68, Mohali",3,3,1050
35000,3 BHK fully furnished flat for rent in sector 99,"Sector 99, Mohali",3,2,1800
52999,3bhk hero homes fully furnished flat available for rent,"Sector 88, Mohali",3,3,1850
52999,3bhk Noble willasa fully furnished flat available for rent,"Sector 99, Mohali",3,3,1950
21999,1bhk fully furnished flat available for rent,"Sector 79, Mohali",1,1,1200
29999,2bhk Purab premium apartment available for rent,"Sector 88, Mohali",2,2,2500
