Feature,Importance
bhk,0.327484295297532
area,0.17375999195357786
bathroom,0.1106148511909433
furnishing_Unknown,0.01679412297289118
property_type_Independent Floor,0.011224093391627128
"location_Sector 82, Mohali",0.011036570931745392
furnishing_Fully Furnished,0.009550543360995473
property_type_Unknown,0.009428583525707478
"location_Sector 85, Mohali",0.00788717492728868
"location_Sector 98, Mohali",0.0077220685187905525
"location_Sector 21D, Chandigarh",0.006756385770855859
property_type_Flat,0.006733110866000178
"location_Sector 88, Mohali",0.006576618685233966
"location_Sector 79, Mohali",0.00642742626183697
"location_Sector 66B, Mohali",0.006237257038488704
furnishing_Semi Furnished,0.005749739449919493
"location_Sector 60 Phase 3B2, Mohali",0.005692076924208538
"location_Sector 66, Mohali",0.005515197745317066
furnishing_Furnished,0.0053322464519639755
"location_Sector 66A, Mohali",0.005097002175506936
property_type_PG,0.004964868964712457
"location_Sector 36B, Chandigarh",0.004682154825121642
"location_Airport Road, Mohali",0.004678049122578241
"location_Sector 45B, Chandigarh",0.004611473660972588
"location_Sector 89, Mohali",0.00427989970424343
"location_Sector 34D, Chandigarh",0.004265534409949226
"location_Landran, Mohali",0.004220250661305835
"location_VIP Road, Zirakpur",0.0038896210295736753
"location_Airport Road, Zirakpur",0.0038649155844499516
"location_Sector 22B, Chandigarh",0.0038398862619832956
"location_Sector 70, Mohali",0.0037557031643389127
"location_New Chandigarh, Chandigarh",0.0037503522802614254
"location_Sector 10B, Chandigarh",0.003745838643609856
"location_Sector 8C, Chandigarh",0.0035871471245194565
"location_Sector 38A, Chandigarh",0.0035352588146015463
"location_Sector 27D, Chandigarh",0.0034503708380683035
"location_Kurali Chandigarh Rd, Kharar",0.0034052771131272996
"location_Sector 32D, Chandigarh",0.003388077873044533
"location_Khanpur, Kharar",0.0033352234527575493
"location_Patiala Road, Zirakpur",0.0030407914981355373
"location_Sector 61, Mohali",0.0030198800423161167
"location_Sector 91, Mohali",0.0029908949632272562
"location_Ambala Chandigarh Expressway, Zirakpur",0.00292037958252668
"location_Sunny Enclave, Kharar",0.002873374745623454
"location_Sector 35A, Chandigarh",0.002779007007284931
"location_Peer Muchalla, Zirakpur",0.002728206520121583
property_type_Independent House,0.0026462973655312244
"location_Sector 33A, Chandigarh",0.002604523232079331
city_SAS Nagar,0.002594251235521088
"location_Sector 99, Mohali",0.002373817774862558
"location_Sector 38D, Chandigarh",0.0022859234899524055
